"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"","psychophysics","193","21681","0.0-193.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","59","key"," "," ","7.0641428571424125","500","250","inst","","","","","",""
"","psychophysics","194","21778","0.0-194.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","96","key"," "," ","6.996000000000024","500","250","pog","187","1","187","0","0","184"
"","psychophysics","195","21879","0.0-195.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","100","key"," "," ","6.945846153846035","500","250","pog","131","1","131","0","0","131"
"","psychophysics","196","21944","0.0-196.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","65","key"," "," ","6.9456666666665114","500","250","pog","229","1","229","0","0","176"
"","psychophysics","197","22029","0.0-197.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","83","key"," "," ","6.946454545454551","500","250","pog","190","1","190","0","0","186"
"","psychophysics","198","22164","0.0-198.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","134","key"," "," ","6.945888888888779","500","250","pog","105","1","105","0","0","138"
"","psychophysics","199","22216","0.0-199.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","51","key"," "," ","6.945857142857027","500","250","pog","156","1","156","0","0","139"
"","psychophysics","200","22323","0.0-200.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","106","key"," "," ","6.945500000000071","500","250","pog","134","1","134","0","0","133"
"","psychophysics","201","22388","0.0-201.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","65","key"," "," ","6.944888888888979","500","250","pog","85","1","85","0","0","126"
"","psychophysics","202","22468","0.0-202.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","78","key"," "," ","6.945400000000154","500","250","pog","118","1","118","0","0","164"
"","psychophysics","203","22554","0.0-203.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","85","key"," "," ","6.9457272727271295","500","250","pog","183","1","183","0","0","196"
"","psychophysics","204","22721","0.0-204.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","166","key"," "," ","6.9463478260869405","500","250","pog","204","1","204","0","0","146"
"","psychophysics","205","22850","0.0-205.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","125","key"," "," ","6.945166666666814","500","250","pog","146","1","146","0","0","132"
"","psychophysics","206","22971","0.0-206.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","120","key"," "," ","6.9454375000000255","500","250","pog","96","1","96","0","0","186"
"","psychophysics","207","23094","0.0-207.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","123","key"," "," ","6.945352941176465","500","250","pog","80","1","80","0","0","145"
"","psychophysics","208","23196","0.0-208.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","100","key"," "," ","6.945785714285843","500","250","pog","159","1","159","0","0","168"
