"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"","psychophysics","72","385215","0.0-72.0","ETHAN","TEST","","","","","4659","key"," "," ","7.3692468354430405","500","250","zol","-0.03","2","-0.47","10","-25",""
"","psychophysics","73","389910","0.0-73.0","ETHAN","TEST","","","","","4694","key"," "," ","7.401515007898962","500","250","zol","0.39","2","0.31","3","12",""
"","psychophysics","74","393340","0.0-74.0","ETHAN","TEST","","","","","3428","key"," "," ","7.466189542483596","500","250","zol","-0.13","2","0.03","26","-14",""
"","psychophysics","75","393982","0.0-75.0","ETHAN","TEST","","","","","642","key"," "," ","7.44192941176486","500","250","inst","","","","","",""
"","psychophysics","76","395209","0.0-76.0","ETHAN","TEST","","","","","1226","key"," "," ","7.3700180722892155","500","250","instBr0","NaN","","0","0","0","300"
"","psychophysics","77","396404","0.0-77.0","ETHAN","TEST","","","","","1193","key"," "," ","7.43219496855335","500","250","instBr1","NaN","","-40","0","0","300"
"","psychophysics","78","399512","0.0-78.0","ETHAN","TEST","","","","","3107","key"," "," ","7.435889423076822","500","250","instBr","40","1","40","0","0","300"
"","psychophysics","79","400112","0.0-79.0","ETHAN","TEST","","","","","600","key"," "," ","7.664064102563619","500","250","inst","","","","","",""
"","psychophysics","80","406262","0.0-80.0","ETHAN","TEST","","","","","6149","key"," "," ","7.467139902676401","500","250","br","-6","1","4","-19","29","300"
"","psychophysics","81","410599","0.0-81.0","ETHAN","TEST","","","","","4337","key"," "," ","7.389446337308316","500","250","br","-12","1","7","1","-19","300"
"","psychophysics","82","412770","0.0-82.0","ETHAN","TEST","","","","","2170","key"," "," ","7.510314685314726","500","250","br","-6","1","-40","-17","-10","300"
"","psychophysics","83","415179","0.0-83.0","ETHAN","TEST","","","","","2408","key"," "," ","7.289325227963598","500","250","br","-10","1","-27","-27","5","300"
"","psychophysics","84","417346","0.0-84.0","ETHAN","TEST","","","","","2166","key"," "," ","7.3034324324324045","500","250","br","-3","1","32","-5","5","300"
"","psychophysics","85","418480","0.0-85.0","ETHAN","TEST","","","","","1133","key"," "," ","7.265438709677302","500","250","br","2","1","13","28","-7","300"
"","psychophysics","86","419678","0.0-86.0","ETHAN","TEST","","","","","1197","key"," "," ","7.2904146341461455","500","250","br","-12","1","2","-2","11","300"
"","psychophysics","87","423214","0.0-87.0","ETHAN","TEST","","","","","3535","key"," "," ","7.38855345911955","500","250","br","-9","1","-49","-14","30","300"
"","psychophysics","88","425139","0.0-88.0","ETHAN","TEST","","","","","1924","key"," "," ","7.378992307692309","500","250","br","-13","1","-27","-2","-5","300"
"","psychophysics","89","428861","0.0-89.0","ETHAN","TEST","","","","","3721","key"," "," ","7.364217821782164","500","250","br","-19","1","-39","3","28","300"
"","psychophysics","90","433992","0.0-90.0","ETHAN","TEST","","","","","5130","key"," "," ","7.350208034433245","500","250","br","-14","1","40","6","-19","300"
"","psychophysics","91","437152","0.0-91.0","ETHAN","TEST","","","","","3159","key"," "," ","7.461938388625649","500","250","br","-20","1","3","-13","-21","300"
"","psychophysics","92","438202","0.0-92.0","ETHAN","TEST","","","","","1049","key"," "," ","7.44785000000016","500","250","br","-27","1","-37","-20","-19","300"
"","psychophysics","93","439946","0.0-93.0","ETHAN","TEST","","","","","1743","key"," "," ","7.394974468085182","500","250","br","-8","1","7","-30","-15","300"
"","psychophysics","94","440940","0.0-94.0","ETHAN","TEST","","","","","993","key"," "," ","7.539476923076794","500","250","br","-1","1","8","27","-3","300"
"","psychophysics","95","441491","0.0-95.0","ETHAN","TEST","","","","","550","key"," "," ","7.5305833333331975","500","250","inst","","","","","",""
"","psychophysics","96","442317","0.0-96.0","ETHAN","TEST","","","","","825","key"," "," ","7.461596330275349","500","250","instPz0","50","2","50","","","50"
"","psychophysics","97","442944","0.0-97.0","ETHAN","TEST","","","","","626","key"," "," ","7.5369999999999555","500","250","instPz1","25","2","25","","","50"
"","psychophysics","98","443503","0.0-98.0","ETHAN","TEST","","","","","558","key"," "," ","7.420891891891999","500","250","instPz2","15","2","15","","","25"
"","psychophysics","99","445132","0.0-99.0","ETHAN","TEST","","","","","1627","key"," "," ","7.568453271027924","500","250","instPz3","25","2","25","","","50"
"","psychophysics","100","445612","0.0-100.0","ETHAN","TEST","","","","","478","key"," "," ","7.385578125000393","500","250","instPz4","15","2","15","","","30"
"","psychophysics","101","446382","0.0-101.0","ETHAN","TEST","","","","","769","key"," "," ","7.423601941747514","500","250","inst","","","","","",""
"","psychophysics","102","455921","0.0-102.0","ETHAN","TEST","","","","","9538","key"," "," ","7.3478928296067885","500","250","pz","-36","2","26","","","34"
"","psychophysics","103","473182","0.0-103.0","ETHAN","TEST","","","","","17260","key"," "," ","7.35096337308349","500","250","pz","32","2","45","","","37"
"","psychophysics","104","475303","0.0-104.0","ETHAN","TEST","","","","","2120","key"," "," ","7.493595744680913","500","250","pz","30","2","51","","","31"
"","psychophysics","105","476265","0.0-105.0","ETHAN","TEST","","","","","961","key"," "," ","7.440054687499924","500","250","pz","37","2","44","","","51"
"","psychophysics","106","477840","0.0-106.0","ETHAN","TEST","","","","","1574","key"," "," ","7.341028037383091","500","250","pz","43","2","56","","","40"
"","psychophysics","107","478410","0.0-107.0","ETHAN","TEST","","","","","569","key"," "," ","7.40850000000041","500","250","pz","41","2","42","","","45"
