"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"6638"," ","psychophysics","165","2478602","0.0-165.0"," 4268","key"," ","16.683428211586893","500","250","ml","17","0","0","31","138","107"
"5966"," ","psychophysics","166","2484570","0.0-166.0"," 4268","key"," ","16.684132022471847","500","250","ml","20","0","0","-40","145","185"
"5564"," ","psychophysics","167","2490138","0.0-167.0"," 4268","key"," ","16.683294294294328","500","250","ml","33","0","0","1","185","184"
"1694"," ","psychophysics","168","2491834","0.0-168.0"," 4268","key"," ","16.68373267326762","500","250","ml","28","0","0","28","178","150"
"7198"," ","psychophysics","169","2499034","0.0-169.0"," 4268","key"," ","16.683306976744557","500","250","ml","16","0","0","44","147","103"
"7421"," ","psychophysics","170","2506458","0.0-170.0"," 4268","key"," ","16.683286036036463","500","250","ml","16","0","0","-20","115","135"
"4237"," ","psychophysics","171","2510699","0.0-171.0"," 4268","key"," ","16.68224015748165","500","250","ml","32","0","0","18","198","180"
"3437"," ","psychophysics","172","2514139","0.0-172.0"," 4268","key"," ","16.68324390243875","500","250","ml","39","0","0","-7","158","165"
"2702"," ","psychophysics","173","2516843","0.0-173.0"," 4268","key"," ","16.68311801242428","500","250","ml","34","0","0","24","152","128"
"2750"," ","psychophysics","174","2519595","0.0-174.0"," 4268","key"," ","16.683256097561","500","250","ml","16","0","0","2","109","107"
"4270"," ","psychophysics","175","2523867","0.0-175.0"," 4268","key"," ","16.683341176470048","500","250","ml","24","0","0","16","137","121"
"4432"," ","psychophysics","176","2528300","0.0-176.0"," 4268","key"," ","16.68345660377329","500","250","ml","27","0","0","25","158","133"
"4140"," ","psychophysics","177","2532443","0.0-177.0"," 4268","key"," ","16.682429149797798","500","250","ml","12","0","0","22","134","112"
"2318"," ","psychophysics","178","2534763","0.0-178.0"," 4268","key"," ","16.684304347825304","500","250","ml","15","0","0","9","122","113"
"4030"," ","psychophysics","179","2538795","0.0-179.0"," 4268","key"," ","16.683195020746503","500","250","ml","24","0","0","-2","155","157"
