pid task resp start version parA rt time_elapsed
60d5353d0248aca07f34435e br 15 5 2 240 1467 706232
60d5353d0248aca07f34435e br 16 -17 2 235 4456 710689
60d5353d0248aca07f34435e br 13 6 2 252 1622 712313
60d5353d0248aca07f34435e br 13 13 2 228 3175 715489
60d5353d0248aca07f34435e br 20 -11 2 274 3383 718874
60d5353d0248aca07f34435e br 19 -41 2 294 null 726875
60d5353d0248aca07f34435e br 17 -46 2 219 3983 730859
60d5353d0248aca07f34435e br 19 49 2 211 2366 733228
60d5353d0248aca07f34435e br 14 17 2 234 1542 734772
60d5353d0248aca07f34435e br 15 13 2 207 1519 736292
60d5353d0248aca07f34435e br 19 -21 2 283 3415 739709
60d5353d0248aca07f34435e br 18 45 2 225 2327 742037
60d5353d0248aca07f34435e br 18 -9 2 220 4535 746574
60d5353d0248aca07f34435e br 15 -2 2 280 2597 749174
